artist,title,Artist,n,URI,spotifyID
+Sandy++Alex+G,Southern+Sky,(Sandy) Alex G,126,https://api.spotify.com/v1/search?q=%2520track%3ASouthern+Sky%2520artist%3A+Sandy++Alex+G%2520&type=track,022KnoVZaB3IJx21uW5tDH
++Cellophane,NA,- Cellophane,6,https://api.spotify.com/v1/search?q=%2520track%3ANA%2520artist%3A++Cellophane%2520&type=track,7kd0MRNgHSyTubjnVNcteZ
++Lo+Hi,NA,- Lo/Hi,12,https://api.spotify.com/v1/search?q=%2520track%3ANA%2520artist%3A++Lo+Hi%2520&type=track,1QnoEe0jYG3y2GYwgRCGoU
13th+Floor+Elevators,You+re+Gonna+Miss+Me,13th Floor Elevators,12,https://api.spotify.com/v1/search?q=%2520track%3AYou+re+Gonna+Miss+Me%2520artist%3A13th+Floor+Elevators%2520&type=track,34miSNKQ0xN7EG8zzzaFzI
26+BATS+,Do+What+You+Do,26 BATS!,134,https://api.spotify.com/v1/search?q=%2520track%3ADo+What+You+Do%2520artist%3A26+BATS+%2520&type=track,4Icu8prpEka7ufeeyVlj7a
++And+The+Mysterians,96+Tears,? And The Mysterians,7,https://api.spotify.com/v1/search?q=%2520track%3A96+Tears%2520artist%3A++And+The+Mysterians%2520&type=track,4PEeZ2U4UfP2Jo8EtIOjus
A+Tribe+Called+Quest,Award+Tour,A Tribe Called Quest,18,https://api.spotify.com/v1/search?q=%2520track%3AAward+Tour%2520artist%3AA+Tribe+Called+Quest%2520&type=track,5YTM7OgQDt9EJAYcfHLniJ
A+Tribe+Called+Quest,Can+I+Kick+It,A Tribe Called Quest,19,https://api.spotify.com/v1/search?q=%2520track%3ACan+I+Kick+It%2520artist%3AA+Tribe+Called+Quest%2520&type=track,3Ti0GdlrotgwsAVBBugv0I
A+Tribe+Called+Quest,Check+The+Rhime,A Tribe Called Quest,18,https://api.spotify.com/v1/search?q=%2520track%3ACheck+The+Rhime%2520artist%3AA+Tribe+Called+Quest%2520&type=track,4HfxDJ0uLHTLe0fZrx0MbQ
A+Tribe+Called+Quest,I+Left+My+Wallet+In+El+Segundo,A Tribe Called Quest,17,https://api.spotify.com/v1/search?q=%2520track%3AI+Left+My+Wallet+In+El+Segundo%2520artist%3AA+Tribe+Called+Quest%2520&type=track,15Xdlu0QaiEy3YFTf4xpUA
A+Tribe+Called+Quest,Scenario,A Tribe Called Quest,14,https://api.spotify.com/v1/search?q=%2520track%3AScenario%2520artist%3AA+Tribe+Called+Quest%2520&type=track,5YTM7OgQDt9EJAYcfHLniJ
A+Tribe+Called+Quest,We+The+People++++,A Tribe Called Quest,30,https://api.spotify.com/v1/search?q=%2520track%3AWe+The+People++++%2520artist%3AA+Tribe+Called+Quest%2520&type=track,3wUX7HpXS382s1DHTRouVk
