artist,title,Artist,n,URI,spotifyID,tempo,info-danceability,info-energy,info-key,info-loudness,info-mode,info-speechiness,info-acousticness,info-instrumentalness,info-liveness,info-valence,info-tempo,info-type,info-id,info-uri,info-track_href,info-analysis_url,info-duration_ms,info-time_signature,info-1
Of+Monsters+And+Men,Alligator,Of Monsters And Men,296,https://api.spotify.com/v1/audio-features/797qMUoU74C6xc45n2vAMK,797qMUoU74C6xc45n2vAMK,120.024,0.581,0.934,8,-5.511,1,0.0547,1.69e-4,0.00297,0.0901,0.391,120.024,audio_features,797qMUoU74C6xc45n2vAMK,spotify:track:797qMUoU74C6xc45n2vAMK,https://api.spotify.com/v1/tracks/797qMUoU74C6xc45n2vAMK,https://api.spotify.com/v1/audio-analysis/797qMUoU74C6xc45n2vAMK,184027,4,NA
Jenny+Lewis,Red+Bull+And+Hennessy,Jenny Lewis,287,https://api.spotify.com/v1/audio-features/3rrzbjHWFyKcCpagbbFjrE,3rrzbjHWFyKcCpagbbFjrE,130.005,0.509,0.933,4,-5.633,0,0.099,0.00203,1.38e-4,0.196,0.374,130.005,audio_features,3rrzbjHWFyKcCpagbbFjrE,spotify:track:3rrzbjHWFyKcCpagbbFjrE,https://api.spotify.com/v1/tracks/3rrzbjHWFyKcCpagbbFjrE,https://api.spotify.com/v1/audio-analysis/3rrzbjHWFyKcCpagbbFjrE,288630,4,NA
The+Black+Keys,Lo+Hi,The Black Keys,286,https://api.spotify.com/v1/audio-features/5G1sTBGbZT5o4PNRc75RKI,5G1sTBGbZT5o4PNRc75RKI,166.3,0.356,0.872,2,-7.837,1,0.068,0.00417,0.00975,0.0997,0.607,166.3,audio_features,5G1sTBGbZT5o4PNRc75RKI,spotify:track:5G1sTBGbZT5o4PNRc75RKI,https://api.spotify.com/v1/tracks/5G1sTBGbZT5o4PNRc75RKI,https://api.spotify.com/v1/audio-analysis/5G1sTBGbZT5o4PNRc75RKI,193653,4,NA
J+S++Ondara,Saying+Goodbye,J.S. Ondara,278,https://api.spotify.com/v1/audio-features/4PqgB442TI25iz4G6d6BBD,4PqgB442TI25iz4G6d6BBD,103.294,0.631,0.523,9,-7.968,1,0.0303,0.454,5.86e-6,0.117,0.541,103.294,audio_features,4PqgB442TI25iz4G6d6BBD,spotify:track:4PqgB442TI25iz4G6d6BBD,https://api.spotify.com/v1/tracks/4PqgB442TI25iz4G6d6BBD,https://api.spotify.com/v1/audio-analysis/4PqgB442TI25iz4G6d6BBD,229907,4,NA
Vampire+Weekend,Harmony+Hall,Vampire Weekend,272,https://api.spotify.com/v1/audio-features/39exKIvycQDgs4T6uXdyu0,39exKIvycQDgs4T6uXdyu0,98.008,0.653,0.76,11,-6.086,1,0.0479,0.475,1.29e-4,0.0917,0.6,98.008,audio_features,39exKIvycQDgs4T6uXdyu0,spotify:track:39exKIvycQDgs4T6uXdyu0,https://api.spotify.com/v1/tracks/39exKIvycQDgs4T6uXdyu0,https://api.spotify.com/v1/audio-analysis/39exKIvycQDgs4T6uXdyu0,308733,4,NA
Hot+Chip,Hungry+Child,Hot Chip,262,https://api.spotify.com/v1/audio-features/6o8ZQJ4VJmBW3gEwCK75ce,6o8ZQJ4VJmBW3gEwCK75ce,120.034,0.646,0.873,0,-5.305,1,0.0493,0.0581,0.0231,0.238,0.581,120.034,audio_features,6o8ZQJ4VJmBW3gEwCK75ce,spotify:track:6o8ZQJ4VJmBW3gEwCK75ce,https://api.spotify.com/v1/tracks/6o8ZQJ4VJmBW3gEwCK75ce,https://api.spotify.com/v1/audio-analysis/6o8ZQJ4VJmBW3gEwCK75ce,208637,4,NA
Jade+Bird,I+Get+No+Joy,Jade Bird,258,https://api.spotify.com/v1/audio-features/2rgCu3A8HVHOnYAIBLsHYw,2rgCu3A8HVHOnYAIBLsHYw,91.932,0.677,0.747,5,-4.655,1,0.087,0.326,0,0.0602,0.746,91.932,audio_features,2rgCu3A8HVHOnYAIBLsHYw,spotify:track:2rgCu3A8HVHOnYAIBLsHYw,https://api.spotify.com/v1/tracks/2rgCu3A8HVHOnYAIBLsHYw,https://api.spotify.com/v1/audio-analysis/2rgCu3A8HVHOnYAIBLsHYw,162070,4,NA
Hozier,Almost++Sweet+Music+,Hozier,247,https://api.spotify.com/v1/audio-features/5Apvsk0suoivI1H8CmBglv,5Apvsk0suoivI1H8CmBglv,90.036,0.523,0.687,7,-5.601,1,0.105,0.0215,2.86e-6,0.203,0.711,90.036,audio_features,5Apvsk0suoivI1H8CmBglv,spotify:track:5Apvsk0suoivI1H8CmBglv,https://api.spotify.com/v1/tracks/5Apvsk0suoivI1H8CmBglv,https://api.spotify.com/v1/audio-analysis/5Apvsk0suoivI1H8CmBglv,217480,4,NA
Sleater+Kinney,Hurry+On+Home,Sleater-Kinney,245,https://api.spotify.com/v1/audio-features/6EUSmVljC3J77F8SHpthqm,6EUSmVljC3J77F8SHpthqm,124.006,0.594,0.88,1,-4.044,1,0.046,0.0263,1.1e-4,0.185,0.5,124.006,audio_features,6EUSmVljC3J77F8SHpthqm,spotify:track:6EUSmVljC3J77F8SHpthqm,https://api.spotify.com/v1/tracks/6EUSmVljC3J77F8SHpthqm,https://api.spotify.com/v1/audio-analysis/6EUSmVljC3J77F8SHpthqm,168208,4,NA
White+Reaper,Might+Be+Right,White Reaper,244,https://api.spotify.com/v1/audio-features/5YTDnlr6qzl0XIGCqHP7sx,5YTDnlr6qzl0XIGCqHP7sx,131.995,0.595,0.861,1,-3.907,0,0.0327,0.00222,0.18,0.227,0.892,131.995,audio_features,5YTDnlr6qzl0XIGCqHP7sx,spotify:track:5YTDnlr6qzl0XIGCqHP7sx,https://api.spotify.com/v1/tracks/5YTDnlr6qzl0XIGCqHP7sx,https://api.spotify.com/v1/audio-analysis/5YTDnlr6qzl0XIGCqHP7sx,237013,4,NA
Parcels,Tieduprightnow,Parcels,241,https://api.spotify.com/v1/audio-features/4cyygA6kLAF2H6QqwmACHd,4cyygA6kLAF2H6QqwmACHd,103.016,0.809,0.539,5,-9.6,0,0.0368,0.0643,0.0536,0.173,0.728,103.016,audio_features,4cyygA6kLAF2H6QqwmACHd,spotify:track:4cyygA6kLAF2H6QqwmACHd,https://api.spotify.com/v1/tracks/4cyygA6kLAF2H6QqwmACHd,https://api.spotify.com/v1/audio-analysis/4cyygA6kLAF2H6QqwmACHd,272817,4,NA
Sharon+Van+Etten,Seventeen,Sharon Van Etten,241,https://api.spotify.com/v1/audio-features/5jZoYp0P8ML7AxkS3tQz3j,5jZoYp0P8ML7AxkS3tQz3j,127.107,0.538,0.774,5,-7.359,1,0.0484,0.0164,0.265,0.0685,0.249,127.107,audio_features,5jZoYp0P8ML7AxkS3tQz3j,spotify:track:5jZoYp0P8ML7AxkS3tQz3j,https://api.spotify.com/v1/tracks/5jZoYp0P8ML7AxkS3tQz3j,https://api.spotify.com/v1/audio-analysis/5jZoYp0P8ML7AxkS3tQz3j,265920,4,NA
Billie+Eilish,Bury+A+Friend,Billie Eilish,236,https://api.spotify.com/v1/audio-features/4SSnFejRGlZikf02HLewEF,4SSnFejRGlZikf02HLewEF,120.046,0.905,0.389,8,-14.505,1,0.332,0.74,0.162,0.106,0.196,120.046,audio_features,4SSnFejRGlZikf02HLewEF,spotify:track:4SSnFejRGlZikf02HLewEF,https://api.spotify.com/v1/tracks/4SSnFejRGlZikf02HLewEF,https://api.spotify.com/v1/audio-analysis/4SSnFejRGlZikf02HLewEF,193143,4,NA
Cage+The+Elephant,Ready+To+Let+Go,Cage The Elephant,232,https://api.spotify.com/v1/audio-features/2FymmKBuog0loCuNXMwQID,2FymmKBuog0loCuNXMwQID,129.984,0.668,0.705,9,-5.731,0,0.0356,0.0274,0,0.215,0.549,129.984,audio_features,2FymmKBuog0loCuNXMwQID,spotify:track:2FymmKBuog0loCuNXMwQID,https://api.spotify.com/v1/tracks/2FymmKBuog0loCuNXMwQID,https://api.spotify.com/v1/audio-analysis/2FymmKBuog0loCuNXMwQID,186760,4,NA
Wilco,Love+Is+Everywhere++Beware+,Wilco,232,https://api.spotify.com/v1/audio-features/0cWKIr2hzxT6vuxFrCzcMz,0cWKIr2hzxT6vuxFrCzcMz,144.244,0.313,0.519,7,-9.435,1,0.0297,0.119,0.451,0.0993,0.507,144.244,audio_features,0cWKIr2hzxT6vuxFrCzcMz,spotify:track:0cWKIr2hzxT6vuxFrCzcMz,https://api.spotify.com/v1/tracks/0cWKIr2hzxT6vuxFrCzcMz,https://api.spotify.com/v1/audio-analysis/0cWKIr2hzxT6vuxFrCzcMz,213128,3,NA
Beck,Saw+Lightning,Beck,230,https://api.spotify.com/v1/audio-features/0JeNWvckrkYpR8cY5A4Phs,0JeNWvckrkYpR8cY5A4Phs,120.016,0.675,0.911,5,-5.075,0,0.0449,0.0502,0.0488,0.0736,0.849,120.016,audio_features,0JeNWvckrkYpR8cY5A4Phs,spotify:track:0JeNWvckrkYpR8cY5A4Phs,https://api.spotify.com/v1/tracks/0JeNWvckrkYpR8cY5A4Phs,https://api.spotify.com/v1/audio-analysis/0JeNWvckrkYpR8cY5A4Phs,241451,4,NA
Better+Oblivion+Community+Center,Dylan+Thomas,Better Oblivion Community Center,227,https://api.spotify.com/v1/audio-features/1AEiKr56njftNDp67QCnHH,1AEiKr56njftNDp67QCnHH,116.077,0.593,0.807,2,-7.995,1,0.0371,1.25e-4,2.1e-4,0.0914,0.521,116.077,audio_features,1AEiKr56njftNDp67QCnHH,spotify:track:1AEiKr56njftNDp67QCnHH,https://api.spotify.com/v1/tracks/1AEiKr56njftNDp67QCnHH,https://api.spotify.com/v1/audio-analysis/1AEiKr56njftNDp67QCnHH,216787,4,NA
