artist,title,Artist,n,URI,spotifyID,tempo
Of+Monsters+And+Men,Alligator,Of Monsters And Men,296,https://api.spotify.com/v1/audio-features/797qMUoU74C6xc45n2vAMK,797qMUoU74C6xc45n2vAMK,120.024
Jenny+Lewis,Red+Bull+And+Hennessy,Jenny Lewis,287,https://api.spotify.com/v1/audio-features/3rrzbjHWFyKcCpagbbFjrE,3rrzbjHWFyKcCpagbbFjrE,130.005
The+Black+Keys,Lo+Hi,The Black Keys,286,https://api.spotify.com/v1/audio-features/5G1sTBGbZT5o4PNRc75RKI,5G1sTBGbZT5o4PNRc75RKI,166.3
J+S++Ondara,Saying+Goodbye,J.S. Ondara,278,https://api.spotify.com/v1/audio-features/4PqgB442TI25iz4G6d6BBD,4PqgB442TI25iz4G6d6BBD,103.294
Vampire+Weekend,Harmony+Hall,Vampire Weekend,272,https://api.spotify.com/v1/audio-features/39exKIvycQDgs4T6uXdyu0,39exKIvycQDgs4T6uXdyu0,98.008
Hot+Chip,Hungry+Child,Hot Chip,262,https://api.spotify.com/v1/audio-features/6o8ZQJ4VJmBW3gEwCK75ce,6o8ZQJ4VJmBW3gEwCK75ce,120.034
Jade+Bird,I+Get+No+Joy,Jade Bird,258,https://api.spotify.com/v1/audio-features/2rgCu3A8HVHOnYAIBLsHYw,2rgCu3A8HVHOnYAIBLsHYw,91.932
Hozier,Almost++Sweet+Music+,Hozier,247,https://api.spotify.com/v1/audio-features/5Apvsk0suoivI1H8CmBglv,5Apvsk0suoivI1H8CmBglv,90.036
Sleater+Kinney,Hurry+On+Home,Sleater-Kinney,245,https://api.spotify.com/v1/audio-features/6EUSmVljC3J77F8SHpthqm,6EUSmVljC3J77F8SHpthqm,124.006
White+Reaper,Might+Be+Right,White Reaper,244,https://api.spotify.com/v1/audio-features/5YTDnlr6qzl0XIGCqHP7sx,5YTDnlr6qzl0XIGCqHP7sx,131.995
Parcels,Tieduprightnow,Parcels,241,https://api.spotify.com/v1/audio-features/4cyygA6kLAF2H6QqwmACHd,4cyygA6kLAF2H6QqwmACHd,103.016
Sharon+Van+Etten,Seventeen,Sharon Van Etten,241,https://api.spotify.com/v1/audio-features/5jZoYp0P8ML7AxkS3tQz3j,5jZoYp0P8ML7AxkS3tQz3j,127.107
Billie+Eilish,Bury+A+Friend,Billie Eilish,236,https://api.spotify.com/v1/audio-features/4SSnFejRGlZikf02HLewEF,4SSnFejRGlZikf02HLewEF,120.046
Cage+The+Elephant,Ready+To+Let+Go,Cage The Elephant,232,https://api.spotify.com/v1/audio-features/2FymmKBuog0loCuNXMwQID,2FymmKBuog0loCuNXMwQID,129.984
Wilco,Love+Is+Everywhere++Beware+,Wilco,232,https://api.spotify.com/v1/audio-features/0cWKIr2hzxT6vuxFrCzcMz,0cWKIr2hzxT6vuxFrCzcMz,144.244
Beck,Saw+Lightning,Beck,230,https://api.spotify.com/v1/audio-features/0JeNWvckrkYpR8cY5A4Phs,0JeNWvckrkYpR8cY5A4Phs,120.016
Better+Oblivion+Community+Center,Dylan+Thomas,Better Oblivion Community Center,227,https://api.spotify.com/v1/audio-features/1AEiKr56njftNDp67QCnHH,1AEiKr56njftNDp67QCnHH,116.077
Sam+Fender,Hypersonic+Missiles,Sam Fender,221,https://api.spotify.com/v1/audio-features/6CltzquypraYIlWFp48m1O,6CltzquypraYIlWFp48m1O,130.971
Lana+Del+Rey,Doin++Time,Lana Del Rey,218,https://api.spotify.com/v1/audio-features/0Oqc0kKFsQ6MhFOLBNZIGX,0Oqc0kKFsQ6MhFOLBNZIGX,144.982
Lizzo,Juice,Lizzo,216,https://api.spotify.com/v1/audio-features/0k664IuFwVP557Gnx7RhIl,0k664IuFwVP557Gnx7RhIl,119.93
Joseph,Fighter,Joseph,215,https://api.spotify.com/v1/audio-features/7oMVBM1xAwavu697KyBQUY,7oMVBM1xAwavu697KyBQUY,139.002
Local+Natives,When+Am+I+Gonna+Lose+You,Local Natives,214,https://api.spotify.com/v1/audio-features/5wCVLW9qMtIY9IkBeyYnh6,5wCVLW9qMtIY9IkBeyYnh6,142.088
The+Nude+Party,Feels+Alright,The Nude Party,214,https://api.spotify.com/v1/audio-features/0QRPnkRK35yM6wYCQ1seo9,0QRPnkRK35yM6wYCQ1seo9,129.075
The+Cactus+Blossoms,Please+Don+t+Call+Me+Crazy,The Cactus Blossoms,212,https://api.spotify.com/v1/audio-features/4QuqfGeS0CkPtgk2IMnXwA,4QuqfGeS0CkPtgk2IMnXwA,139.3
Whitney,Giving+Up,Whitney,212,https://api.spotify.com/v1/audio-features/0iJe81g5tUhKEjpc7Rfcq9,0iJe81g5tUhKEjpc7Rfcq9,90.636
Adia+Victoria,Different+Kind+Of+Love,Adia Victoria,211,https://api.spotify.com/v1/audio-features/5gy7tyFsQIFcxMajZlghLD,5gy7tyFsQIFcxMajZlghLD,124.061
Lizzo,Like+A+Girl,Lizzo,209,https://api.spotify.com/v1/audio-features/5I7sGubUsKo4mVJpBoSVUr,5I7sGubUsKo4mVJpBoSVUr,144.031
Gary+Clark+Jr+,When+I+m+Gone,Gary Clark Jr.,205,https://api.spotify.com/v1/audio-features/10V1dKQyQlL9nI7KpPPeBp,10V1dKQyQlL9nI7KpPPeBp,106.482
Vampire+Weekend,This+Life,Vampire Weekend,205,https://api.spotify.com/v1/audio-features/4dRqYKhLVujxiBXcq50YzG,4dRqYKhLVujxiBXcq50YzG,170.234
Big+Thief,Not,Big Thief,204,https://api.spotify.com/v1/audio-features/3HFBqhotJeEKHJzMEW31jZ,3HFBqhotJeEKHJzMEW31jZ,132.57
Florence+And+The+Machine,Moderation,Florence And The Machine,204,https://api.spotify.com/v1/audio-features/1YLJVmuzeM2YSUkCCaTNUB,1YLJVmuzeM2YSUkCCaTNUB,149.954
PUP,See+You+At+Your+Funeral,PUP,204,https://api.spotify.com/v1/audio-features/7KA4W4McWYRpgf0fWsJZWB,7KA4W4McWYRpgf0fWsJZWB,78.558
Spoon,No+Bullets+Spent,Spoon,204,https://api.spotify.com/v1/audio-features/4FQeCXqlUcXRVvOF8K19LD,4FQeCXqlUcXRVvOF8K19LD,129.45
Jay+Som,Superbike,Jay Som,201,https://api.spotify.com/v1/audio-features/0vKV3DiHbzFYzPynsi7eFO,0vKV3DiHbzFYzPynsi7eFO,95.032
Tame+Impala,Patience,Tame Impala,200,https://api.spotify.com/v1/audio-features/5ZdVYZaMffiDf1plaJ2Jib,5ZdVYZaMffiDf1plaJ2Jib,124.214
Tycho,Pink+And+Blue,Tycho,200,https://api.spotify.com/v1/audio-features/1TJqHWEHHQ7Z5mJ0P6rXqq,1TJqHWEHHQ7Z5mJ0P6rXqq,118.003
Alice+Merton,Funny+Business,Alice Merton,199,https://api.spotify.com/v1/audio-features/50B1PVWbakumorzP54YvK2,50B1PVWbakumorzP54YvK2,103.789
The+National,You+Had+Your+Soul+With+You,The National,196,https://api.spotify.com/v1/audio-features/5cBrqDgmdbgH6ncuy1hGDs,5cBrqDgmdbgH6ncuy1hGDs,154.015
Anderson+Paak,Make+It+Better+feat++Smokey+Robinson,Anderson Paak,195,https://api.spotify.com/v1/audio-features/4SBVWkRIMJ6WBCYPvr5Bwr,4SBVWkRIMJ6WBCYPvr5Bwr,178.555
