artist,title,Artist,n,"str_replace_all(artist, ""[[:punct:]]"", "" "")",URI,spotifyID,tempo
Communist%2520Daughter,Not%2520The%2520Kid,Communist Daughter,541,Communist Daughter,https://api.spotify.com/v1/audio-features/0n97PkKoTpnp5L343TMAgB,0n97PkKoTpnp5L343TMAgB,84.768
Edward%2520Sharpe%2520And%2520The%2520Magnetic%2520Zeros,Home,Edward Sharpe And The Magnetic Zeros,533,Edward Sharpe And The Magnetic Zeros,https://api.spotify.com/v1/audio-features/7KWGfnsUU4Ri46TIvjpAPx,7KWGfnsUU4Ri46TIvjpAPx,111.615
The%2520National,Bloodbuzz%2520Ohio,The National,532,The National,https://api.spotify.com/v1/audio-features/3lnF83kG6ePhTSWRoW62dO,3lnF83kG6ePhTSWRoW62dO,157.066
The%2520Lumineers,Ho%2520Hey,The Lumineers,526,The Lumineers,https://api.spotify.com/v1/audio-features/0W4Kpfp1w2xkY3PrV714B7,0W4Kpfp1w2xkY3PrV714B7,79.936
Foster%2520The%2520People,Pumped%2520Up%2520Kicks,Foster The People,501,Foster The People,https://api.spotify.com/v1/audio-features/7w87IxuO7BDcJ3YUqCyMTT,7w87IxuO7BDcJ3YUqCyMTT,127.975
Of%2520Monsters%2520And%2520Men,Little%2520Talks,Of Monsters And Men,492,Of Monsters And Men,https://api.spotify.com/v1/audio-features/2ihCaVdNZmnHZWt0fvAM7B,2ihCaVdNZmnHZWt0fvAM7B,102.961
The%2520Heavy,How%2520You%2520Like%2520Me%2520Now%2520,The Heavy,489,The Heavy,https://api.spotify.com/v1/audio-features/7D180Q77XAEP7atBLmMTgK,7D180Q77XAEP7atBLmMTgK,110.059
Animal%2520Collective,My%2520Girls,Animal Collective,488,Animal Collective,https://api.spotify.com/v1/audio-features/2gE0khQ948RYQOeTgCUL2a,2gE0khQ948RYQOeTgCUL2a,119.973
LCD%2520Soundsystem,Dance%2520Yrself%2520Clean,LCD Soundsystem,484,LCD Soundsystem,https://api.spotify.com/v1/audio-features/2cmRpmO04TLaKPzmAzySYZ,2cmRpmO04TLaKPzmAzySYZ,98.004
Alabama%2520Shakes,Hold%2520On,Alabama Shakes,471,Alabama Shakes,https://api.spotify.com/v1/audio-features/436bx0eHJS5DPgIyfsDU31,436bx0eHJS5DPgIyfsDU31,88.311
BOY,Little%2520Numbers,BOY,471,BOY,https://api.spotify.com/v1/audio-features/32UKzfkSMoFSHfcd20l4PW,32UKzfkSMoFSHfcd20l4PW,191.807
M83,Midnight%2520City,M83,469,M83,https://api.spotify.com/v1/audio-features/1eyzqe2QqGZUmfcPZtrIyt,1eyzqe2QqGZUmfcPZtrIyt,105.009
Metric,Youth%2520Without%2520Youth,Metric,463,Metric,https://api.spotify.com/v1/audio-features/69kMwl7dsqCdHqqRlD7FrM,69kMwl7dsqCdHqqRlD7FrM,128.578
Dessa,Dixon%2520s%2520Girl,Dessa,462,Dessa,https://api.spotify.com/v1/audio-features/5za2K5XXuEaFWps6pYdo2y,5za2K5XXuEaFWps6pYdo2y,95.983
Trampled%2520By%2520Turtles,Alone,Trampled By Turtles,458,Trampled By Turtles,https://api.spotify.com/v1/audio-features/5H06kjjKa1Oz8BZcGeplel,5H06kjjKa1Oz8BZcGeplel,141.09
The%2520XX,Basic%2520Space,The XX,456,The XX,https://api.spotify.com/v1/audio-features/5jPLxdGG7KKX9rM3xrm6Dd,5jPLxdGG7KKX9rM3xrm6Dd,115.873
Trampled%2520By%2520Turtles,Wait%2520So%2520Long,Trampled By Turtles,455,Trampled By Turtles,https://api.spotify.com/v1/audio-features/1I7JVzjG70FM9NrgSY5von,1I7JVzjG70FM9NrgSY5von,189.53
Frank%2520Ocean,Lost,Frank Ocean,454,Frank Ocean,https://api.spotify.com/v1/audio-features/3GZD6HmiNUhxXYf8Gch723,3GZD6HmiNUhxXYf8Gch723,123.061
Joy%2520Division,Transmission,Joy Division,453,Joy Division,https://api.spotify.com/v1/audio-features/5fbQCQt91LsVgXusFS0CCD,5fbQCQt91LsVgXusFS0CCD,84.696
Django%2520Django,Default,Django Django,451,Django Django,https://api.spotify.com/v1/audio-features/7yygpnlQyzmy0zXiMTpoZv,7yygpnlQyzmy0zXiMTpoZv,125.983
Brother%2520Ali,Fresh%2520Air,Brother Ali,450,Brother Ali,https://api.spotify.com/v1/audio-features/54mQwOGiGFElqMSCKBVX49,54mQwOGiGFElqMSCKBVX49,107.809
Fleet%2520Foxes,Helplessness%2520Blues,Fleet Foxes,450,Fleet Foxes,https://api.spotify.com/v1/audio-features/02VdHwnGhy5fTW2CTZkYsb,02VdHwnGhy5fTW2CTZkYsb,125.217
Phantogram,Mouthful%2520Of%2520Diamonds,Phantogram,450,Phantogram,https://api.spotify.com/v1/audio-features/3MULiLJ8IdHzKs554eyzM0,3MULiLJ8IdHzKs554eyzM0,99.974
Edward%2520Sharpe%2520And%2520The%2520Magnetic%2520Zeros,40%2520Day%2520Dream,Edward Sharpe And The Magnetic Zeros,448,Edward Sharpe And The Magnetic Zeros,https://api.spotify.com/v1/audio-features/7KWGfnsUU4Ri46TIvjpAPx,7KWGfnsUU4Ri46TIvjpAPx,111.615
Benjamin%2520Booker,Violent%2520Shiver,Benjamin Booker,443,Benjamin Booker,https://api.spotify.com/v1/audio-features/1kJP08Hra8FQBz5dG80k3m,1kJP08Hra8FQBz5dG80k3m,165.096
Broken%2520Bells,The%2520High%2520Road,Broken Bells,443,Broken Bells,https://api.spotify.com/v1/audio-features/5cwN1htZyoWqZCc33f3RfE,5cwN1htZyoWqZCc33f3RfE,79.955
J.%2520Roddy%2520Walston%2520And%2520The%2520Business,Heavy%2520Bells,J. Roddy Walston And The Business,440,J  Roddy Walston And The Business,https://api.spotify.com/v1/audio-features/1lrm1hnqVtpXUosBa842No,1lrm1hnqVtpXUosBa842No,151.24
Free%2520Energy,Dream%2520City,Free Energy,439,Free Energy,https://api.spotify.com/v1/audio-features/7z3z4ednmFP3OMBcQhO7Ld,7z3z4ednmFP3OMBcQhO7Ld,130.476
Leon%2520Bridges,Coming%2520Home,Leon Bridges,436,Leon Bridges,https://api.spotify.com/v1/audio-features/7pUradWqXv9rMT07bSSY9X,7pUradWqXv9rMT07bSSY9X,113.997
Beach%2520House,Myth,Beach House,435,Beach House,https://api.spotify.com/v1/audio-features/2NfxtzCIrpCmJX5Z2KMdD5,2NfxtzCIrpCmJX5Z2KMdD5,141.965
Tame%2520Impala,Elephant,Tame Impala,435,Tame Impala,https://api.spotify.com/v1/audio-features/6qZjm61s6u8Ead9sWxCDro,6qZjm61s6u8Ead9sWxCDro,123.075
The%2520Big%2520Pink,Dominos,The Big Pink,433,The Big Pink,https://api.spotify.com/v1/audio-features/7m97yKVzPpXV9Z4ezEziOD,7m97yKVzPpXV9Z4ezEziOD,138.083
Grizzly%2520Bear,Two%2520Weeks,Grizzly Bear,432,Grizzly Bear,https://api.spotify.com/v1/audio-features/04uR2cdkgiaLIzebPcs25m,04uR2cdkgiaLIzebPcs25m,159.685
The%2520XX,Crystalised,The XX,431,The XX,https://api.spotify.com/v1/audio-features/2BH3j05ZXWr5PR30sW079d,2BH3j05ZXWr5PR30sW079d,100.015
Muse,Madness,Muse,430,Muse,https://api.spotify.com/v1/audio-features/0c4IEciLCDdXEhhKxj4ThA,0c4IEciLCDdXEhhKxj4ThA,180.301
Dawes,When%2520My%2520Time%2520Comes,Dawes,428,Dawes,https://api.spotify.com/v1/audio-features/2bit43ZeiBbbiHUtyWuthM,2bit43ZeiBbbiHUtyWuthM,113.975
Hot%2520Chip,Night%2520And%2520Day,Hot Chip,428,Hot Chip,https://api.spotify.com/v1/audio-features/4V9Ue6TRdHECudrdPWqyss,4V9Ue6TRdHECudrdPWqyss,134.972
