"","Area Name-Legal/Statistical Area Description","Qualifying Name","Area (Land)","Area (Water)","Summary Level","Geographic Component","Region","Division","FIPS","State (FIPS)","Total Population","Total Population_1","Urban","Urban: Inside urbanized areas","Urban: Inside urban clusters","Rural","Total Population_2","Male","Female","Total Population_3","Under 5 years","5 to 9 years","10 to 14 years","15 to 17 years","18 to 24 years","25 to 34 years","35 to 44 years","45 to 54 years","55 to 64 years","65 to 74 years","75 to 84 years","85 years and over","Median Age","Median Age: Male Population","Median Age: Female Population","Total Population_4","White Alone","Black or African American Alone","American Indian and Alaska Native Alone","Asian Alone","Native Hawaiian and Other Pacific Islander Alone","Some other race Alone","Two or more races","Average Household Size"
"1","Alaska","Alaska","1481346887193","236507354315","040","00","4","9","02","02","626932","626932","411257","277670","133587","215675","626932","324112","302820","626932","47591","53771","56661","32694","57292","89473","114049","94952","44750","22507","10558","2634","32.4","32.4","32.5","626932","434534","21787","98043","25116","3309","9997","34146","2.74"
"2","Arizona","Arizona","294312170780","942059255","040","00","4","8","04","04","5130632","5130632","4523535","3908163","615372","607097","5130632","2561057","2569575","5130632","382386","389869","378211","216481","514101","742665","768804","627904","442372","363841","235473","68525","34.2","32.9","35.5","5130632","3873611","158873","255879","92236","6733","596774","146526","2.64"
"3","Arkansas","Arkansas","134855939370","2876047706","040","00","3","7","05","05","2673400","2673400","1404179","860747","543432","1269221","2673400","1304693","1368707","2673400","181585","187224","192935","118625","261738","352845","398127","349519","256783","198334","129193","46492","36","34.6","37.4","2673400","2138598","418950","17808","20220","1668","40412","35744","2.49"
"4","California","California","403932815196","20036751351","040","00","4","9","06","06","33871648","33871648","31989663","29950008","2039655","1881985","33871648","16874892","16996756","33871648","2486981","2725880","2570822","1466146","3366030","5229062","5485341","4331635","2614093","1887823","1282178","425657","33.3","32.2","34.4","33871648","20170059","2263882","333346","3697513","116961","5682241","1607646","2.87"
"5","Colorado","Colorado","268627156313","973947089","040","00","4","8","08","08","4301261","4301261","3633185","3212849","420336","668076","4301261","2165983","2135278","4301261","297505","308428","311497","183365","430111","664027","736823","614125","339307","226310","141547","48216","34.3","33.2","35.4","4301261","3560005","165063","44241","95213","4621","309931","122187","2.53"
"6","Connecticut","Connecticut","12547983374","1809174855","040","00","1","1","09","09","3405565","3405565","2988059","2848497","139562","417506","3405565","1649319","1756246","3405565","223344","244144","241587","132613","271585","451640","581049","480807","308613","231565","174345","64273","37.4","36.1","38.6","3405565","2780355","309843","9639","82313","1366","147201","74848","2.53"
"7","Delaware","Delaware","5059707268","1387471795","040","00","3","5","10","10","783600","783600","627758","531032","96726","155842","783600","380541","403059","783600","51531","55813","55274","31969","75328","108840","127601","103999","71519","56415","34762","10549","36","34.9","37.1","783600","584773","150666","2731","16259","283","15855","13033","2.54"
"8","District of Columbia","District of Columbia","159033692","17968995","040","00","3","5","11","11","572059","572059","572059","572059","0","0","572059","269366","302693","572059","32536","35385","30018","17053","72637","101762","87677","75310","49783","35919","25004","8975","34.6","33.7","35.6","572059","176101","343312","1713","15189","348","21950","13446","2.16"
"9","Florida","Florida","139669812564","30633792058","040","00","3","5","12","12","15982378","15982378","14270020","13470104","799916","1712358","15982378","7797715","8184663","15982378","945823","1031718","1057024","611775","1330602","2084100","2485247","2069479","1559013","1452176","1024134","331287","38.7","37.3","40.1","15982378","12465029","2335505","53541","266256","8625","477107","376315","2.46"
"10","Georgia","Georgia","149976204860","3933225333","040","00","3","5","13","13","8186453","8186453","5864163","5010117","854046","2322290","8186453","4027113","4159340","8186453","595150","615584","607759","350741","837732","1299256","1353508","1079992","661456","435695","261723","87857","33.4","32.1","34.6","8186453","5327281","2349542","21737","173170","4246","196289","114188","2.65"
