State,Area (Land),Area (Water),Region,Division,FIPS,Total Population,Urban,Rural,Male,Female,Median Age,Average Household Size,PercentUrban,PercentFemale,Children,PercentChildren,RetirementAge,PercentRetirementAge,PercentWhite,PercentBlack,PercentNativeAmerican,PercentAsian,PercentNativeHawaii,PercentOther,PercentTwoOrMoreRaces,StateAbrv
Alaska,1481346887193,236507354315,4,9,02,626932,411257,215675,324112,302820,32.4,2.74,0.6559834240396087,0.5169811079989536,136946,0.21843836333127037,35699,0.05694237971582245,0.6931118526411157,0.034751775312155064,0.15638538150868037,0.04006176108413672,0.005278084385547396,0.01594590800916208,0.054465237059202594,AK
Arizona,294312170780,942059255,4,8,04,5130632,4523535,607097,2561057,2569575,34.2,2.64,0.881672082503676,0.4991698878422775,977078,0.1904400861336381,667839,0.13016700476666423,0.7549968502905685,0.030965580848519247,0.04987280319461618,0.017977512322068703,0.0013123139605413134,0.11631588467073842,0.028559054712947646,AZ
Arkansas,134855939370,2876047706,3,7,05,2673400,1404179,1269221,1304693,1368707,36,2.49,0.5252408917483354,0.48802760529662603,493145,0.18446360439889278,374019,0.13990386773397173,0.7999543652277998,0.15671055584648763,0.006661180519189048,0.0075634024089174835,6.239245904092167e-4,0.015116331263559513,0.013370240143637316,AR
California,403932815196,20036751351,4,9,06,33871648,31989663,1881985,16874892,16996756,33.3,2.87,0.9444377492349945,0.49820109136703356,6523949,0.19260795931747993,3595658,0.10615538990013122,0.5954850203922761,0.06683707860922504,0.009841446155793777,0.10916247712541179,0.0034530649350158573,0.16775803173202555,0.04746288105025182,CA
Colorado,268627156313,973947089,4,8,08,4301261,3633185,668076,2165983,2135278,34.3,2.53,0.8446790371474784,0.5035693021186113,792367,0.18421737253331058,416073,0.0967327953360654,0.8276654218379215,0.038375490350387946,0.010285588342581397,0.022136066609303645,0.0010743361074810388,0.07205584594843233,0.02840725080389216,CO
Connecticut,12547983374,1809174855,1,1,09,3405565,2988059,417506,1649319,1756246,37.4,2.53,0.877404777180879,0.48430113652213364,597544,0.17546104684538394,470183,0.1380631407710615,0.8164151910182305,0.09098137900759493,0.002830367354609294,0.02417014504201212,4.0110818616000577e-4,0.043223664795709375,0.02197814459568383,CT
Delaware,5059707268,1387471795,3,5,10,783600,627758,155842,380541,403059,36,2.54,0.8011204696273609,0.48563169984686066,138774,0.1770980091883614,101726,0.12981878509443592,0.7462646758550281,0.19227411944869832,0.0034851965288412454,0.020749106687085246,3.6115364982133744e-4,0.02023353751914242,0.016632210311383358,DE
District of Columbia,159033692,17968995,3,5,11,572059,572059,0,269366,302693,34.6,2.16,1,0.4708710115565003,79607,0.13915872313869723,69898,0.12218669752595449,0.3078371286877752,0.6001339022723181,0.002994446377034537,0.026551457104948967,6.083288611838988e-4,0.0383701681120304,0.02350456858470892,NA
Florida,139669812564,30633792058,3,5,12,15982378,14270020,1712358,7797715,8184663,38.7,2.46,0.8928596232675763,0.48789454235158247,2614622,0.16359405340056404,2807597,0.17566828916197577,0.7799233005251158,0.14613000643583826,0.003350002108572329,0.016659348189612334,5.396568645792259e-4,0.029852065818991393,0.0235456200572906,FL
Georgia,149976204860,3933225333,3,5,13,8186453,5864163,2322290,4027113,4159340,33.4,2.65,0.7163252509969824,0.4919240359652709,1553650,0.1897830476764479,785275,0.09592371690156896,0.6507434904958228,0.28700366324707416,0.002655240309814275,0.0211532393821842,5.186617452027148e-4,0.023977295172891117,0.013948409647010739,GA
Hawaii,16634521307,11676592338,4,9,15,1211537,1108225,103312,608671,602866,36.2,2.92,0.9147265003049845,0.5023957171757858,210787,0.17398313051933206,160601,0.1325597154688631,0.24275114998551428,0.018161228257989645,0.0029177812976409305,0.4158915493294881,0.09371484321155689,0.012502300796426358,0.21406114712138383,HI
Idaho,214314284702,2131225477,4,8,16,1293953,859497,434456,648660,645293,33.2,2.69,0.664241282334057,0.5013010518929204,268274,0.207329014268679,145916,0.11276761984399743,0.9098506669098492,0.004216536458433962,0.01363650766295221,0.009188123525352157,0.0010108558811641535,0.04230601884303371,0.019791290719214684,ID
Illinois,143960815935,6036720674,2,3,17,12419293,10909520,1509773,6080336,6338957,34.7,2.63,0.8784332570300096,0.4895879338703097,2315593,0.18645127383660245,1500025,0.12078183516565717,0.7347818430566055,0.15112575248848706,0.0024965994441068424,0.034108463340062914,3.7119665346489533e-4,0.058192684559418964,0.01892346045785376,IL
