"gender","survival"
"Female","Survives"
"Female","Survives"
"Female","Survives"
"Female","Survives"
"Female","Survives"
"Female","Survives"
"Female","Survives"
"Female","Survives"
"Female","Survives"
"Female","Survives"
"Female","Survives"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Survives"
"Female","Survives"
"Female","Survives"
"Female","Survives"
"Female","Survives"
"Female","Survives"
"Female","Survives"
"Female","Survives"
"Female","Survives"
"Female","Survives"
"Female","Survives"
"Female","Survives"
"Female","Survives"
"Female","Survives"
"Female","Survives"
"Female","Survives"
"Female","Survives"
"Female","Survives"
"Female","Survives"
"Female","Survives"
"Female","Survives"
"Female","Survives"
"Female","Survives"
"Female","Survives"
"Female","Survives"
"Female","Survives"
"Female","Survives"
"Female","Survives"
"Female","Survives"
"Female","Survives"
"Female","Survives"
"Female","Survives"
"Female","Survives"
"Female","Survives"
"Female","Survives"
"Female","Survives"
"Female","Survives"
"Female","Survives"
"Female","Survives"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Female","Dies"
"Male","Survives"
"Male","Survives"
"Male","Survives"
"Male","Survives"
"Male","Survives"
"Male","Survives"
"Male","Survives"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Survives"
"Male","Survives"
"Male","Survives"
"Male","Survives"
"Male","Survives"
"Male","Survives"
"Male","Survives"
"Male","Survives"
"Male","Survives"
"Male","Survives"
"Male","Survives"
"Male","Survives"
"Male","Survives"
"Male","Survives"
"Male","Survives"
"Male","Survives"
"Male","Survives"
"Male","Survives"
"Male","Survives"
"Male","Survives"
"Male","Survives"
"Male","Survives"
"Male","Survives"
"Male","Survives"
"Male","Survives"
"Male","Survives"
"Male","Survives"
"Male","Survives"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
"Male","Dies"
