Country,Year,population
Abkhazia,1800,NA
Afghanistan,1800,328e4
Akrotiri and Dhekelia,1800,NA
Albania,1800,410445
Algeria,1800,2503218
American Samoa,1800,8170
Andorra,1800,2654
Angola,1800,1567028
Anguilla,1800,2025
Antigua and Barbuda,1800,37e3
Argentina,1800,534e3
Armenia,1800,413326
Aruba,1800,19286
Australia,1800,351014
Austria,1800,3205587
Azerbaijan,1800,879960
Bahamas,1800,27350
Bahrain,1800,64474
Bangladesh,1800,19227358
Barbados,1800,81729
Belarus,1800,2355081
Belgium,1800,3138137
Belize,1800,25526
Benin,1800,636559
Bermuda,1800,9692
Bhutan,1800,89989
Bolivia,1800,11e5
Bosnia and Herzegovina,1800,851806
Botswana,1800,121e3
Brazil,1800,3639636
British Virgin Islands,1800,6700
Brunei,1800,2128
Bulgaria,1800,1992320
Burkina Faso,1800,1665421
Burundi,1800,899097
Cambodia,1800,209e4
Cameroon,1800,1860054
Canada,1800,645526
Cape Verde,1800,55716
Cayman Islands,1800,2439
Central African Republic,1800,479444
Chad,1800,1432e3
Channel Islands,1800,43908
Chile,1800,771447
China,1800,321675013
Christmas Island,1800,NA
Cocos Island,1800,NA
Colombia,1800,1206e3
Comoros,1800,56346
"Congo, Dem. Rep.",1800,5163819
"Congo, Rep.",1800,314465
Cook Is,1800,16136
Costa Rica,1800,51987
Cote d'Ivoire,1800,1088530
Croatia,1800,1227886
Cuba,1800,345043
Cyprus,1800,184392
Czech Republic,1800,5516349
Czechoslovakia,1800,NA
Denmark,1800,1062514
Djibouti,1800,22848
Dominica,1800,19950
Dominican Republic,1800,89e3
East Germany,1800,NA
Ecuador,1800,5e5
Egypt,1800,4243515
El Salvador,1800,248e3
Equatorial Guinea,1800,80377
Eritrea,1800,205010
Eritrea and Ethiopia,1800,NA
Estonia,1800,334136
Ethiopia,1800,2948990
Faeroe Islands,1800,13537
Falkland Is (Malvinas),1800,100
Fiji,1800,130533
Finland,1800,977662
France,1800,29355111
French Guiana,1800,9899
French Polynesia,1800,62530
Gabon,1800,158227
Gambia,1800,103274
Georgia,1800,1072178
Germany,1800,22886919
Ghana,1800,2016034
Gibraltar,1800,9873
Greece,1800,2151155
Greenland,1800,9584
Grenada,1800,29409
Guadeloupe,1800,80726
Guam,1800,6053
Guatemala,1800,458965
Guernsey,1800,NA
Guinea,1800,983959
Guinea-Bissau,1800,218167
Guyana,1800,166034
Haiti,1800,723e3
Holy See,1800,905
Honduras,1800,126118
"Hong Kong, China",1800,2e4
Hungary,1800,3499771
Iceland,1800,61428
India,1800,168574895
Indonesia,1800,16108545
Iran,1800,6269721
Iraq,1800,1076920
Ireland,1800,4064749
Isle of Man,1800,23533
